device_id;iot_zone
xdppivjzy2wixy6s-l1303;office013
xdppivjzy2wixy6s-l1301;office011
POD2-00335;office011
xdppivjzy2wixy6s-l1302;office012
xdppivjzy2wixy6s-l1304;office014
xdppivjzy2wixy6s-l1305;office015
xdppivjzy2wixy6s-l1306;office016
xdppivjzy2wixy6s-l1307;office017
xdppivjzy2wixy6s-l1213;office020
xdppivjzy2wixy6s-l1214;office020
xdppivjzy2wixy6s-l1215;office020
xdppivjzy2wixy6s-l1300;office020
POD2-00337;office020
xdppivjzy2wixy6s-l1113;office114
xdppivjzy2wixy6s-l1112;office113
POD2-00338;office113
xdppivjzy2wixy6s-l1202;office127
xdppivjzy2wixy6s-l1103;office109
xdppivjzy2wixy6s-l1209;office123
POD2-00340;office123
xdppivjzy2wixy6s-l1210;office124
xdppivjzy2wixy6s-l1108;office102
xdppivjzy2wixy6s-l1109;office103
xdppivjzy2wixy6s-l1106;office110
xdppivjzy2wixy6s-l1105;office111
6102001000219;office111
xdppivjzy2wixy6s-l1104;office112
xdppivjzy2wixy6s-l1107;office101
xdppivjzy2wixy6s-l1110;office104
6102001000165;office104
xdppivjzy2wixy6s-l1111;office105
xdppivjzy2wixy6s-l1100;office106
xdppivjzy2wixy6s-l1101;office107
xdppivjzy2wixy6s-l1102;office108
POD2-00341;office108
xdppivjzy2wixy6s-l1206;office120
xdppivjzy2wixy6s-l1207;office121
6102001000103;office121
xdppivjzy2wixy6s-l1208;office122
xdppivjzy2wixy6s-l1114;office115
xdppivjzy2wixy6s-l1115;office116
6102001000042;office116
xdppivjzy2wixy6s-l1203;office117
xdppivjzy2wixy6s-l1204;office118
xdppivjzy2wixy6s-l1205;office119
6082001000139;roof
xdppivjzy2wixy6s-l1211;office001
xdppivjzy2wixy6s-l1212;office001
6102001000202;office001
xdppivjzy2wixy6s-l1200;office125
xdppivjzy2wixy6s-l1201;office126