variable;zone;property
t_sp_0002;zone001;setpoint_temperature
t_init_0002;zone001;temperature
T_air_0002;zone001;temperature
P_heat_0002;zone001;heatingPower
t_sp_0003;zone002;setpoint_temperature
t_init_0003;zone002;temperature
T_air_0003;zone002;temperature
P_heat_0003;zone002;heatingPower
t_sp_0006;zone003;setpoint_temperature
t_init_0006;zone003;temperature
T_air_0006;zone003;temperature
P_heat_0006;zone003;heatingPower
t_sp_0005;zone004;setpoint_temperature
t_init_0005;zone004;temperature
T_air_0005;zone004;temperature
P_heat_0005;zone004;heatingPower
t_sp_0004;zone005;setpoint_temperature
t_init_0004;zone005;temperature
T_air_0004;zone005;temperature
P_heat_0004;zone005;heatingPower
t_sp_0007;zone101;setpoint_temperature
t_init_0007;zone101;temperature
T_air_0007;zone101;temperature
P_heat_0007;zone101;heatingPower
t_sp_0008;zone102;setpoint_temperature
t_init_0008;zone102;temperature
T_air_0008;zone102;temperature
P_heat_0008;zone102;heatingPower
t_sp_0019;zone103;setpoint_temperature
t_init_0019;zone103;temperature
T_air_0019;zone103;temperature
P_heat_0019;zone103;heatingPower
t_sp_0009;zone104;setpoint_temperature
t_init_0009;zone104;temperature
T_air_0009;zone104;temperature
P_heat_0009;zone104;heatingPower
t_sp_0010;zone105;setpoint_temperature
t_init_0010;zone105;temperature
T_air_0010;zone105;temperature
P_heat_0010;zone105;heatingPower
t_sp_0011;zone106;setpoint_temperature
t_init_0011;zone106;temperature
T_air_0011;zone106;temperature
P_heat_0011;zone106;heatingPower
t_sp_0013;zone107;setpoint_temperature
t_init_0013;zone107;temperature
T_air_0013;zone107;temperature
P_heat_0013;zone107;heatingPower
t_sp_0015;zone010;setpoint_temperature
t_init_0015;zone108;temperature
T_air_0015;zone108;temperature
P_heat_0015;zone108;heatingPower
t_sp_0014;zone109;setpoint_temperature
t_init_0014;zone109;temperature
T_air_0014;zone109;temperature
P_heat_0014;zone109;heatingPower
t_init_0016;zone010;temperature
T_air_0016;zone010;temperature
P_heat_0016;zone010;heatingPower
t_sp_0017;zone111;setpoint_temperature
t_init_0017;zone111;temperature
T_air_0017;zone111;temperature
P_heat_0017;zone111;heatingPower
t_sp_0018;zone012;setpoint_temperature
t_init_0018;zone012;temperature
T_air_0018;zone012;temperature
P_heat_0018;zone012;heatingPower
t_sp_0012;zone013;setpoint_temperature
t_init_0012;zone013;temperature
T_air_0012;zone013;temperature
P_heat_0012;zone013;heatingPower
t_sp_0020;zone014;setpoint_temperature
t_init_0020;zone014;temperature
T_air_0020;zone014;temperature
P_heat_0020;zone014;heatingPower
t_sp_0001;roof;setpoint_temperature
t_init_0001;roof;temperature
T_air_0001;roof;temperature
P_heat_0001;roof;heatingPower'